text,label,responseLabel_media
Esg-focused financial technology company arabesque ai announced today the appointment of dr. carolina minio paluello as the company’s new chief executive officer.,Opportunity,positive
"The company also announced the appointment of tim wong as its new chief product officer. joining from finbourne technology, where he oversaw product development for investment and portfolio management software, wong also holds several years of experience in product management and strategy consulting at companies including amazon, capco, mckinsey and pwc.",Opportunity,positive
"Wong said:  
“personalised portfolios demand the integration of multiple new data dimensions, complex regulatory compliance requirements and tech expertise outside of the typical asset manager’s capabilities and resource. arabesque ai solves these problems by combining market-leading esg and impact data with deep learning to provide a simple, cloud-based solution that asset managers can use out of the box and integrate into any existing investment workflow.”",Opportunity,positive
"One of the key themes of the report is the impact to the long-term outlook resulting from the disruption to global energy supplies and associated energy shortages caused by the russia-ukraine war. the war, having highlighted the importance of energy security and affordability, is expected to drive demand for domestically produced renewables and other non-fossil fuels over the next several years, in addition to driving overall lower energy demand due to its long-term impact on economic growth and energy efficiency measures.",Opportunity,negative
"Europe’s three primary financial regulatory agencies, the european supervisory authorities (esas) each announced the release of their opinions on the first set of draft european sustainability reporting standards, which set out the rules and requirements for companies to report on sustainability-related impacts, opportunities and risks under the eu’s upcoming corporate sustainable reporting directive (csrd).",Opportunity,positive
"Boston metals is commercializing molten oxide electrolysis (moe), an electricity-powered metals production platform that can be used for green steel, as well as for high-value metals such as tin and niobium. the one-step technology uses renewable electricity to convert all iron ore grades into steel through an energy-efficient process, and selectively extracts valuable metals from complex, low-concentration materials that are currently considered waste, resulting in a process that produces zero co2 emissions, has no need for process water, hazardous chemicals, or precious-metal catalysts, and is cost competitive compared to traditional production methods.",Opportunity,positive
"Aditya mittal, ceo, arcelormittal, said: 
“in boston metal, we are investing in a team that has made impressive progress over a relatively short period of time, developing a technology that has exciting potential to revolutionize steelmaking. in our extensive discussions with them, we have been impressed by the passion and vision they have to contribute to the decarbonization of steelmaking.”",Opportunity,positive
"Brandon middaugh, director, microsoft climate innovation fund, said: 
“microsoft’s climate innovation fund was created to accelerate technology development and deployment in areas that will have the most meaningful impact on climate. the technology boston metal is developing has the potential to deliver affordable green steel at scale, helping to drive cross-industry decarbonization, which is increasingly critical for companies with carbon reduction targets, such as microsoft.”",Opportunity,positive
"In a statement announcing the new action, texas ag ken paxton, who is co-leading the lawsuit, said that the dol’s rule will prioritize “woke” esg investing over protecting the retirement savings of workers.",Risk,negative
"The principles for responsible investment were established by a group of investor signatories in 2006, supported by the united nations, to aid investors in integrating esg factors into the investment process. to achieve this goal, the pri group established a set of specific, voluntary and aspirational principles for investors to follow, including the incorporation of esg issues into the investment process, and into signatories’ own ownership policies and practices. signatories to the pri are also required to report annually on their responsible investment activities based on a number of different indicators.",Opportunity,positive
"Changes include improvements in clarity, with updated terminology and minimized ambiguity in questions, as well as improvements in  consistency and applicability, as well as restructuring of some sections for better alignment with other sustainability reporting frameworks such as tcfn, tnfd and issb.",Opportunity,positive
"Industrial iot platform kuva systems announced today the closing of an $11.3 million series a financing round, with proceeds aimed at accelerating the growth of its platform, used by oil and gas companies to monitor and reduce methane emissions.",Opportunity,positive
"Reducing methane emissions has taken center stage in the fight to address climate change in recent years. methane, emitted from activity such as agriculture, fossil fuel production and transport, coal mining and landfills, is an extremely potent greenhouse gas, with as much as 80x the warming power of co2. given its much shorter lifetime in the atmosphere, however (10-12 years, vs 50-100 years for co2), near-term reductions in methane emissions can have a meaningful climate impact over the next few years.",Opportunity,positive
"Bdc provides financing, advisory services and capital to small and medium-sized enterprises in canada. the company said that it developed the framework following consultations with industry partners and stakeholders on the need to bring more transparency and embed esg disclosure and reporting standards within the canadian venture capital space.",Opportunity,positive
"Energy as a service solutions provider alphastruxure, a joint venture of global private capital investment firm carlyle and schneider electric, announced today an agreement to design, construct, and operate integrated microgrid infrastructure at the new terminal one (nto) at john f. kennedy international airport.",Opportunity,positive
"The terminal’s 11.34 mw microgrid, which will include 7.66 mw of rooftop solar and 3.68 mw of fuel cells, in addition to 4 mw-hours of battery energy storage, will enable the terminal to function independently of the power grid, and maintain 100% of airport operations during power disruptions.",Opportunity,positive
"The microgrid will be financed by carlyle, with technology, software and services to be provided by schneider electric.",Opportunity,positive
"The successful issuance is the latest in a series of strong slb offerings, following a slowdown in the market over the past few months.",Opportunity,positive
"Calling the success of the offering “extraordinary and surprising,” eni ceo claudio descalzi said: 
“it has been for us above all a very strong response in terms of trust from the italian public, and this is the aspect that gives us the greatest satisfaction and strengthens us. so many italians have believed in what we are doing, both in terms of progressively moving toward decarbonized industrial processes and products, and in terms of ensuring energy security.”",Opportunity,positive
"Mascotto said: 
“there is such great need from companies for assistance as they review new and updated esg standards and look to capture sustainable finance opportunities to help transition to a low-carbon economy and elevate communities through inclusive access and growth. i’m excited to partner across u.s. bank on products and services that will help customers achieve their sustainability goals.”",Opportunity,positive
"Last year, the company reported that its 2021 sustainable finance activity reached an all-time high of $250 billion in capital mobilized for financing un sdg-aligned green and social projects, compared to approximately $105 billion in 2020.",Opportunity,positive
"Governments – and the public sector more broadly – will no longer be able to plug the funding gap for green infrastructure projects without private sector help. the private sector has the expertise, funds and experience critical to the success of these projects. as a result, the private sector will have to invest in the new infrastructure needed for sustainable development goals. this will include newer asset classes, like advanced nuclear power, electric vehicle infrastructure, floating renewables and carbon capture. each of these projects will have to secure a strong credit rating for the companies who invest. so, each project must have strong fundamentals for financing, through stable, predictable revenue, reasonable protection from changes in policy and support to new supply chains to be able to deliver the early projects.",Opportunity,positive
"In a statement provided to esg today by iss, a spokesman of the firm said that the letter “reveals a fundamental misunderstanding of market forces at work,” and adding that the firm’s “sole agenda is to provide its clients with tools and policy options to enable them to make informed investment decisions and vote their shares in accordance with their distinct views and fiduciary responsibilities.”",Opportunity,negative
"According to the new rules, the ban will not apply to plates, trays, and bowls that are used as packaging in shelf-ready pre-packaged food items, including in eat-in and takeaway settings, although businesses are being encouraged to reduce the use of these items and move to reusable alternatives. the government is also planning to address these items through a extended producer responsibility scheme, which will provide incentives to producers to use packaging that can be recycled and to meet higher recycling targets.",Opportunity,positive
There is no one right way to bring esg into core strategy. each individual company needs to find a path that is appropriate to its business and culture. but every company can benefit from a governance framework that allows leaders to set clear goals that are aligned with and support their business strategy.,Opportunity,positive
"The achievement follows the company’s announcement in november 2021 of initiatives to eliminate plastic water bottles and cups from its flights, replacing the bottles with boxed water cartons, and moving to recyclable paper cups for water. at the time, the airline said that plastic cups would continue to be necessary inflight for soda and alcoholic beverages, which could leak through paper cups, and that it was exploring sustainable alternatives for these.",Opportunity,positive
"Microsoft announced today a new strategic alliance with solar panel manufacturer qcells, aimed at advancing the renewable energy supply chain in the u.s., and supplying at least 2.5 gw of solar panels and related services for projects supplying microsoft with renewable energy.",Opportunity,positive
"Brad smith, vice chair and president, microsoft, said: 
“building a resilient solar energy supply chain is essential to advancing a global green energy economy. microsoft’s partnership with qcells will help make this vision a reality by bringing innovation and investment to rural georgia. as one of the world’s largest purchasers of renewable energy, this work will help bring more solar energy to the grid, faster.”",Opportunity,positive
"The achievement follows bmw’s announcement in 2021 of an expansion of its efforts to combat climate change, including goals to significantly reduce vehicle emissions throughout the lifecycle, reduce co2 emissions by 40% per vehicle by 2030, and make a minimum of 50% of its global sales from battery electric vehicles by 2030.",Opportunity,positive
"According to the auction results released by the rbi, bids for the offering reached slightly over $4 billion, and the green bonds were issued with a 7.10% yield for the 5-year, and 7.29% for the 10-year, relative to yields of 7.16% and 7.35%, respectively, for government bonds with similar maturities.",Opportunity,positive
"Additionally, the framework also lists a series of excluded projects, such as those involving the extraction of fossil fuels. the excluded project category also includes nuclear power generation and hydropower plants larger than 25 mw.",Risk,negative
"Sustainable investment firm responsibility announced today that it has raised $274 million in the first closings of two of its sustainable food-focused investment funds, aimed at transforming global agriculture and food value chains.",Opportunity,positive
"Sustainable food in asia aims to invest in mid and downstream companies propelling efficiency in food production and distribution across south asia and southeast asia, in countries including india, indonesia, vietnam, and the philippines. responsability said that the strategy aims to tap the 1.2 billion mostly young, urbanized consumers expected to join the upper middle class income category, with asia poised to more than double its total spending on food to over $8 trillion by 2030.",Opportunity,positive
"Anna murray, senior managing director and global head of sustainable investing at otpp said: 
“although we still consider a 30% goal to be meaningful, we’re raising the threshold to challenge public companies in developed markets to keep improving as we strive for truly diverse and representative boards.”",Opportunity,positive
"According to otpp, the new policy comes as gender diversity at large public issuers in developed markets has been gaining momentum, already exceeding 30% in most of the developed markets in which it invests.",Opportunity,positive
"The company said the guidelines reinforce focus areas for publicly traded companies such as diversity, equity and inclusion (dei) and increased participation of women in board roles, and that the framework continues to require boards to set and disclose timebound targets to increase the number of board directors identifying as a member of an underrepresented group.",Opportunity,positive
"The guidelines ask boards to set and disclose timebound targets to increase the number of board directors identifying as a member of an underrepresented group, and encourage reporting on achievement against those targets.",Opportunity,positive
"Lander said: 
“we expect them to take the steps needed now to reduce emissions on the timeline to which they have committed. we are asking bank of america, jpmorgan chase, goldman sachs, and royal bank of canada to follow the lead of their peers by setting and disclosing absolute, science-based targets for 2030, to show investors they are serious about reaching those goals.”",Opportunity,positive
"Sandahl joined nordea in 2009, and has been leading the pension unit’s climate and sustainability strategy since 2019 and played an active role in shaping the global standards for carbon accounting, net-zero alignment and transition planning for financial institutions, with positions in initiatives including partnership for carbon accounting for financials (pcaf), principles for responsible investment (pri) and glasgow financial alliance for net zero (gfanz).",Opportunity,positive
"The u.s. federal reserve board released details and instructions for its inaugural climate scenario analysis exercise for the six largest u.s. banks, designed to assess the banks’ climate-related risk management practices and their resilience to a range of climate outcomes. results from the exercise are to be submitted by the banks by the end of july.",Opportunity,positive
"The banks will explore the effects of two climate scenarios on specific areas of their loan portfolios. the scenarios, based on those provided by the network of central banks and supervisors for greening the financial system (ngfs), include one based on current policies and one based on reaching net zero greenhouse gas emissions.",Opportunity,positive
